gene	node_0_0_value	node_0_1_value	node_1_0_value	node_1_1_value	node_2_0_value	node_2_1_value	node_3_0_value	node_3_1_value	node_4_0_value	node_4_1_value	node_5_0_value	node_5_1_value	node_6_0_value	node_0_0_selected	node_0_1_selected	node_1_0_selected	node_1_1_selected	node_2_0_selected	node_2_1_selected	node_3_0_selected	node_3_1_selected	node_4_0_selected	node_4_1_selected	node_5_0_selected	node_5_1_selected	node_6_0_selected
RNF14	-0.262543580527	-0.262543580527	-0.170562487334	-0.170562487334	-0.376257241461	-0.376257241461	0.0441154830389	0.0441154830389	-0.00288242388382	-0.00288242388382	-0.217581452824	-0.217581452824	0.160767273436	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q1	0.329012451789	0.329012451789	0.394908849105	0.394908849105	0.511558528888	0.511558528888	0.872861492027	0.872861492027	0.572710122969	0.572710122969	0.446259652796	0.446259652796	-0.205687765142	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF17	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	-20.1292299843	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF10	0.177858580995	0.177858580995	0.244736286757	0.244736286757	0.316808599789	0.316808599789	0.00786320268344	0.00786320268344	-0.457159338085	-0.457159338085	-0.29733159835	-0.29733159835	0.0394795434926	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF11	-0.668239757672	-0.668239757672	-1.08609138251	-1.08609138251	-0.835983758559	-0.835983758559	-0.662239712179	-0.662239712179	-0.413537816136	-0.413537816136	-0.605268781801	-0.605268781801	-0.584400157106	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF13	-0.794627211026	-0.794627211026	-1.17085781292	-1.17085781292	-1.01522131864	-1.01522131864	-0.306829121903	-0.306829121903	-0.44660228776	-0.44660228776	-0.557712663236	-0.557712663236	-0.604690879131	0	0	0	0	0	0	0	0	0	0	0	0	0
REM1	-0.813038634036	-0.813038634036	-0.328242074205	-0.328242074205	-1.2943882603	-1.2943882603	-1.25272614736	-1.25272614736	-1.70964702867	-1.70964702867	-2.57013142369	-2.57013142369	-2.95859174373	0	0	0	0	0	0	0	0	0	0	0	0	0
REM2	0.776639084103	0.776639084103	1.28030297312	1.28030297312	2.71819938672	2.71819938672	0.489621607257	0.489621607257	2.06696961505	2.06696961505	3.19846073616	3.19846073616	0.868727083661	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf13	1.28782083473	1.28782083473	1.20971337677	1.20971337677	1.17487881571	1.17487881571	0.713197497903	0.713197497903	0.775042386977	0.775042386977	1.56959065194	1.56959065194	1.63071007554	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2Q2	0.04357677962	0.04357677962	0.264508831006	0.264508831006	0.260405074741	0.260405074741	0.216986426014	0.216986426014	0.358193333157	0.358193333157	-0.593416578616	-0.593416578616	-0.0661220337471	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2A2	-1.32914691955	-1.32914691955	-1.1276096166	-1.1276096166	-1.29243727849	-1.29243727849	-0.887169334704	-0.887169334704	-0.688508779644	-0.688508779644	-0.994224064947	-0.994224064947	-1.22890166686	0	0	0	0	0	0	0	0	0	0	0	0	0
