gene	value	_selected
RNF14	0.160767273436	0
HIF3A	-7.15668118831	0
RNF17	-20.1292299843	0
RNF10	0.0394795434926	0
RNF11	-0.584400157106	0
RNF13	-0.604690879131	0
REM1	-2.95859174373	0
REM2	0.868727083661	0
C16orf13	1.63071007554	0
UBE2Q2	-0.0661220337471	0
TSKS	-1.64838443776	0
ATRX	-0.69929909464	0
PMM2	1.26316192028	0
PMM1	-0.531481422006	0
ASS1	-0.998760231273	0
NCBP1	0.450150287813	0
ZNF709	-0.175962560064	0
ZNF708	-1.22194728117	0
DISC1	-1.11553746803	0
CAMK1	-2.08419492176	0
RPL37	-0.812710788137	0
SPR	1.20412790353	0
ZNF707	1.8178337992	0
CAMK4	0.405768866458	0
ZC3H10	0.154965773977	0
RNF114	-0.0963518490718	0
RNF115	-0.106294859158	0
ZC3H15	-0.0545862854314	0
ZC3H14	0.333637097005	0
SPN	-0.521776192857	0
RNF111	-0.229165303887	0
NACAP1	-0.768576117231	0
ZC3H18	-0.191151595799	0
GRIN1	-0.237021226336	0
DHX8	0.282343892425	0
DHX9	0.143293872313	1
TCOF1	-0.539316053691	0
NUP98	0.110040353085	0
XPC	-0.162307067708	0
SP1	-0.076589399147	0
SP2	-0.134149644535	0
SP3	-0.327068517932	0
NUP93	0.00110968113293	0
SP5	4.10116416929	0
KLRA1	-1.40348740909	0
CAMKV	-20.4715733306	0
SPPL3	0.136892196256	0
GOLIM4	-0.145310111067	0
OPA3	-0.0913366873325	0
OPA1	-0.186835045495	0
RAB40C	2.13524484063	0
RAB40B	-0.701479068667	0
RAB40A	-0.389570742118	0
COL7A1	-1.21333761643	0
GTSE1	1.2145533432	0
B2M	-1.09252335976	0
WIF1	-9.10345452825	0
KIAA0831	-0.556006067757	0
SPPL2A	-0.136576258841	0
ITGA8	0.382886295042	0
ITGA9	-1.10331982868	0
STK40	-0.412498832009	0
MYO3B	0.510175948777	0
ATP2A1	-7.7829791306	0
ATP2A2	-0.751239967293	0
ATP2A3	3.17043574053	0
ITGA1	-1.71407640066	0
ITGA2	-1.19709101574	0
ITGA3	0.1364092666	0
ITGA4	-0.120234190164	1
ITGA5	0.0644938455575	0
ITGA6	-2.06868926389	0
ITGA7	-4.55623859986	0
TRHR	0.477507977916	0
DENND4A	-0.635507488954	0
SWAP70	-0.564677051726	0
PHLDA1	-0.218768154643	0
PHLDA3	0.177631406807	0
UFSP2	-0.438496138058	0
GAP43	-0.741416485227	0
NENF	-0.0203562830367	0
FBXL13	-0.181767437976	0
FBXL12	-0.626512480726	0
FBXL15	1.14095381707	0
FBXL14	0.0598820943065	0
FBXL17	-0.638172920048	0
FBXL16	4.3765038572	0
FAM169A	1.51685404799	0
FAM116B	0.911251608544	0
PHYHIPL	-2.65870733443	0
H19	0.724255117002	0
SDK2	-2.2278514486	0
GRP	1.51896915892	0
TPRN	3.13196770464	0
ZFP161	-0.46740952582	0
COL4A6	-4.15978146445	0
COL4A5	-0.485316041113	0
COL4A3	-1.2398630068	0
COL4A2	-0.683125266564	0
COL4A1	-0.65478896982	0
CHST1	-0.0121863255736	0
CHST3	-1.92379002586	0
CHST4	-1.15048288878	0
ITGAX	0.00254353495799	0
BCL2A1	-0.306756056256	0
HLCS	0.284571935472	0
NOG	-2.11092783656	0
ITGAV	-0.385535573073	0
LGTN	-0.614146826789	0
ZNF703	2.95503836708	0
ITGAL	1.40669140835	0
ITGAM	-0.511200820752	0
HLF	-5.38715403257	0
NOV	-2.82324525808	0
FAM134C	0.34050443738	0
FAM134B	-0.180890521249	0
FAM134A	0.456528112146	0
SMAD9	-1.58806598291	0
TRERF1	0.110491418458	0
LRPAP1	0.436634491471	0
SMAD5	-1.01097598028	0
SMAD6	-1.52585294307	0
SMAD7	-0.460672913787	0
GOLPH3L	-0.00769342827748	0
SMAD1	-0.386228650145	0
AFTPH	0.463432671925	0
SMAD3	-0.76404769316	0
MUS81	0.310644361078	0
AMMECR1L	-0.455430575426	0
IL1RAPL1	-20.886606665	0
IGF2R	-0.285001605043	0
NECAP2	-0.10286905032	0
CKS1B	-0.387269068993	0
ST13	-0.527380587102	0
C14orf118	-1.25300850641	0
ARTN	4.05031457592	0
ART3	-24.8010051634	0
HERC2P2	-2.68670385703	0
ART4	-2.88066516479	0
SPTLC1	0.0255643980333	0
TCEA2	0.326961518402	0
TCEA3	1.15615699473	0
TCEA1	1.12710532803	0
COX4I2	-1.92485809772	0
COX4I1	-0.865509831847	0
BFAR	0.433829936349	0
EDA	-2.42612853898	0
PIPOX	-0.398871677403	0
CCDC116	-1.75929817482	0
CADPS2	-0.678991843137	0
CCDC115	0.359888059021	0
CCDC112	-0.341248677255	0
CCDC113	-0.889892678464	0
CCDC110	-0.984103246626	0
LEO1	0.48087002165	1
ATP1A4	-0.759800059918	0
ATP1A3	-0.476515706656	0
ATP1A2	-6.30301284973	0
ATP1A1	-0.469910804042	0
MGRN1	1.80715018919	0
TCP1	-0.228252252085	0
CRTAP	-1.36781365124	0
SP8	-14.1590815522	0
SPHK1	0.44038722478	0
DPT	-4.69479806229	0
CUEDC1	0.943508531788	0
CUEDC2	0.301501072221	0
CBLB	-0.383170458172	0
CPEB4	0.220268144079	0
CPEB1	-2.50491310124	0
TERF2IP	-0.903590230597	0
BEGAIN	-2.21974791575	0
RBMXL3	-12.2887598514	0
OSGEP	-0.480633574025	0
ABAT	3.30383407603	0
FRG1	-0.611851923168	0
TP53TG5	-17.7881741996	0
RHEBL1	0.291006466959	0
ZNF41	-0.601071584529	0
IFT80	-0.529137104629	0
FBRS	2.13212342574	0
IFT88	0.425365309108	0
SARDH	0.98174277292	0
XPA	-0.82049591577	0
CNTF	-0.591410096985	0
MCM10	0.961018097368	0
SP4	-0.563934638373	0
IL10RB	-0.584753370176	0
ATG4C	-0.53151346077	0
ATG4B	0.215651909593	0
ATG4A	0.172409187818	0
THUMPD2	-0.830415217304	0
PHOX2A	-19.1468801642	0
UPK2	2.98585763145	0
CFH	-1.42645396399	0
GPT2	1.45954398971	0
PNP	-1.11965793581	0
ANKFY1	0.0171346337122	0
CFB	-0.303407969705	0
CDKAL1	-0.555649794389	0
PNN	-0.589593702616	0
